Ofício;Destinação;Programa de Trabalho;CRE;Unidade Escolar;Total;Portaria;DODF;Processo de Pagamento;Data pagamento
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 03 DE CEILANDIA;R$ 180.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 02 DE CEILANDIA;R$ 70.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 12 DE CEILANDIA;R$ 130.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CED 06 DE CEILANDIA;R$ 80.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CED 15 DE CEILANDIA;R$ 15.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173883/2023-82;02/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CED 16 DE CEILANDIA;R$ 40.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173896/2023-51;04/08/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 09 DE CEILANDIA;R$ 35.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;EP ANISIO TEIXEIRA;R$ 100.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEE 01 DE CEILANDIA;R$ 60.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEE 02 DE CEILANDIA;R$ 40.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173907/2023-01;31/07/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 04 DE CEILANDIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173926/2023-20;31/07/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CED INCRA 09;R$ 30.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173906/2023-59;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CED 11 DE CEILANDIA;R$ 80.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEF 10 DE CEILANDIA;R$ 80.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF 27 DE CEILANDIA;R$ 36.700,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173918/2023-83;01/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF 04 DE CEILANDIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173910/2023-17;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;EC 26 DE CEILANDIA;R$ 85.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;EC 20 DE CEILANDIA;R$ 80.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 50 DE CEILANDIA;R$ 51.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173972/2023-29;04/08/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;EC 34 DE CEILANDIA;R$ 120.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 10 DE CEILANDIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173943/2023-67;05/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 01 DE CEILANDIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173936/2023-65;01/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 15 DE CEILANDIA;R$ 51.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173968/2023-61;03/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 03 DE CEILANDIA;R$ 45.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173941/2023-78;07/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 55 DE CEILANDIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173989/2023-86;04/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC JUSCELINO KUBITSCHEK - SOL NASCENTE;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00174014/2023-75;01/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC LAJES DA JIBOIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00174016/2023-64;31/07/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC JIBOIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00174010/2023-97;03/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC DO SETOR P NORTE;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00174007/2023-73;03/08/2023
7135;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 68 DE CEILANDIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00174005/2023-84;03/08/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;EC 65 DE CEILANDIA;R$ 50.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173997/2023-22;23/10/2023
7135;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;EC 66 DE CEILANDIA;R$ 80.000,00;Portaria nº 718, de 18 de julho de 2023;DODF nº 135, de 19 de julho de 2023;00080-00173930/2023-98;31/07/2023
7136;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 03 DE CEILANDIA;R$ 79.600,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228478/2023-17;20/10/2023
7136;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 02 DE CEILANDIA;R$ 180.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228478/2023-17;20/10/2023
7136;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CED 15 DE CEILANDIA;R$ 69.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228420/2023-65;18/12/2023
7136;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CED 16 DE CEILANDIA;R$ 30.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228425/2023-98;23/10/2023
7136;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 09 DE CEILANDIA;R$ 55.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228478/2023-17;20/10/2023
7136;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 10 DE CEILANDIA;R$ 40.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228478/2023-17;20/10/2023
7136;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;CEE 01 DE CEILANDIA;R$ 20.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228478/2023-17;20/10/2023
7136;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEE 02 DE CEILANDIA;R$ 40.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228452/2023-61;23/10/2023
7136;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CED 11 DE CEILANDIA;R$ 25.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228401/2023-39;18/12/2023
7136;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF PROF MARIA DO ROSARIO GONDIM DA SILVA;R$ 50.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228471/2023-97;20/10/2023
7136;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF 27 DE CEILANDIA;R$ 13.000,00;Portaria nº 948, de 14 de setembro de 2023;DODF nº 174, de 15 de setembro de 2023;00080-00228457/2023-93;20/10/2023
7730;CRE;12.122.622.190.680.300;CRE GAMA;CEM 01 DO GAMA;R$ 150.000,00;Portaria nº 1.006, de 29 de setembro de 2023;DODF nº 185, de 02 de outubro de 2023;00080-00241176/2023-26;03/11/2023
7730;ESCOLA;12.122.622.190.680.300;CRE GAMA;CED 06 DO GAMA;R$ 50.000,00;Portaria nº 1.006, de 29 de setembro de 2023;DODF nº 185, de 02 de outubro de 2023;00080-00242612/2023-84;Inadimplente
7730;ESCOLA;12.122.622.190.680.300;CRE GAMA;CEF 15 DO GAMA;R$ 20.308,00;Portaria nº 1.006, de 29 de setembro de 2023;DODF nº 185, de 02 de outubro de 2023;00080-00241744/2023-99;24/10/2023
7730;ESCOLA;12.122.622.190.680.300;CRE GAMA;CEF 10 DO GAMA;R$ 35.000,00;Portaria nº 1.006, de 29 de setembro de 2023;DODF nº 185, de 02 de outubro de 2023;00080-00241725/2023-62;23/10/2023
7730;CRE;12.122.622.190.680.300;CRE PLANALTINA;CEF NOSSA SENHORA FATIMA;R$ 50.000,00;Portaria nº 1.006, de 29 de setembro de 2023;DODF nº 185, de 02 de outubro de 2023;00080-00242623/2023-64;25/10/2023
7730;CRE;12.122.622.190.680.300;CRE PLANALTINA;EC 07 DE PLANALTINA;R$ 100.000,00;Portaria nº 1.006, de 29 de setembro de 2023;DODF nº 185, de 02 de outubro de 2023;00080-00242623/2023-64;25/10/2023
