Ofício;Destinação;Programa de Trabalho;CRE;Unidade Escolar;Valor;Portaria;DODF;Processo de Pagamento;Data pagamento
9308;ESCOLA;12.122.622.190.680.300;CRE SANTA MARIA;CED 310 DE SANTA MARIA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069253/2024-95;4/19/2024
9309;ESCOLA;12.122.622.190.680.300;CRE SANTA MARIA;CED 310 DE SANTA MARIA;R$ 22.500,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069253/2024-95;4/19/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CED INCRA 09;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00066961/2024-74;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CED INCRA 09;R$ 25.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00066961/2024-74;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE PLANALTINA;CEE 01 DE PLANALTINA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069061/2024-89;04/09/2024
9309;ESCOLA;12.122.622.190.680.300;CRE PLANALTINA;CEE 01 DE PLANALTINA;R$ 22.500,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069061/2024-89;04/09/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF 07 DE CEILANDIA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067076/2024-11;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF 07 DE CEILANDIA;R$ 25.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067076/2024-11;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF 34 DE CEILANDIA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067017/2024-34;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF 34 DE CEILANDIA;R$ 25.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067017/2024-34;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF BOA ESPERANCA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00066976/2024-32;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEF BOA ESPERANCA;R$ 25.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00066976/2024-32;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 02 DE CEILANDIA;R$ 15.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067535/2024-58;04/09/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 02 DE CEILANDIA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067535/2024-58;04/09/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 03 DE CEILANDIA;R$ 15.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067507/2024-31;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;CEM 03 DE CEILANDIA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067507/2024-31;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 01 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067549/2024-71;10/18/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 01 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067549/2024-71;10/18/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 02 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067561/2024-86;11/26/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 02 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067561/2024-86;11/26/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 03 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067588/2024-79;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 03 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067588/2024-79;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 06 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067809/2024-17;12/10/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 06 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067809/2024-17;12/10/2024
9308;ESCOLA;12.122.622.190.680.300;CRE GAMA;EC 07 DO GAMA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069118/2024-40;9/30/2024
9309;ESCOLA;12.122.622.190.680.300;CRE GAMA;EC 07 DO GAMA;R$ 22.500,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069118/2024-40;9/27/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 08 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067853/2024-19;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 08 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067853/2024-19;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE GAMA;EC 09 DO GAMA;R$ 20.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069130/2024-54;INADIMPLENTE
9309;ESCOLA;12.122.622.190.680.300;CRE GAMA;EC 09 DO GAMA;R$ 22.500,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069130/2024-54;INADIMPLENTE
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 10 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067876/2024-23;04/09/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 10 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067876/2024-23;04/09/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 11 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067886/2024-69;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 11 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067886/2024-69;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE PLANO PILOTO;EC 111 SUL;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069138/2024-11;5/20/2024
9309;ESCOLA;12.122.622.190.680.300;CRE PLANO PILOTO;EC 111 SUL;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069138/2024-11;5/20/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 12 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067948/2024-32;04/05/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 12 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067948/2024-32;04/05/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 13 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067957/2024-23;04/09/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 13 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067957/2024-23;04/09/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 15 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067964/2024-25;4/22/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 15 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067964/2024-25;4/22/2024
9308;CRE;12.122.622.190.680.300;CRE CEILÂNDIA;EC 16 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00069090/2024-41;4/19/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 16 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067980/2024-18;4/19/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 17 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067992/2024-42;04/09/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 17 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00067992/2024-42;04/09/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 18 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00068134/2024-15;04/04/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 18 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00068134/2024-15;04/04/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 19 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00068141/2024-17;8/13/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 19 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00068141/2024-17;8/13/2024
9308;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 20 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00068151/2024-52;6/13/2024
9309;ESCOLA;12.122.622.190.680.300;CRE CEILÂNDIA;EC 20 DE CEILANDIA;R$ 10.000,00;Portaria nº 233, de 13 de março de 2024;DODF nº 51, de 14 de março de 2024;00080-00068151/2024-52;6/13/2024
