Unidade Escolar,CRE,Valor,Destinação,Data pagamento
CAIC PROF ANISIO TEIXEIRA,CRE CEILÂNDIA,"R$ 100.000,00",,
CAIC BERNARDO SAYAO,CRE CEILÂNDIA,"R$ 100.000,00",,
CED 01 DE BRASILIA,CRE PLANO PILOTO,"R$ 60.000,00",,
CED 01 DE BRASILIA,CRE PLANO PILOTO,"R$ 100.000,00",,
CED 06 DE CEILANDIA,CRE CEILÂNDIA,"R$ 40.000,00",,
CED 06 DE CEILANDIA,CRE CEILÂNDIA,"R$ 25.000,00",,
CED 06 DO GAMA,CRE GAMA,"R$ 50.000,00",,
CED 08 DO GAMA,CRE GAMA,"R$ 50.000,00",,
CED 14 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CED 15 DE CEILANDIA,CRE CEILÂNDIA,"R$ 50.000,00",,
CED 16 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CED 16 DE CEILANDIA,CRE CEILÂNDIA,"R$ 60.000,00",,
CED 16 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CED 310 DE SANTA MARIA,CRE SANTA MARIA,"R$ 50.000,00",,
CED DARCY RIBEIRO,CRE PARANOÁ,"R$ 50.000,00",,
CED DONA AMERICA GUIMARAES,CRE PLANALTINA,"R$ 50.000,00",,
CED ENGENHO DAS LAJES,CRE GAMA,"R$ 50.000,00",,
CED PAD,CRE PARANOÁ,"R$ 20.000,00",,
CED POMPILIO MARQUES DE SOUZA,CRE PLANALTINA,"R$ 50.000,00",,
CED SAO FRANCISCO,CRE SÃO SEBASTIÃO,"R$ 50.000,00",,
CED STELLA DOS CHERUBINS GUIMARAES TROIS,CRE PLANALTINA,"R$ 50.000,00",,
CED TAQUARA,CRE PLANALTINA,"R$ 50.000,00",,
CED VALE DO AMANHECER,CRE PLANALTINA,"R$ 50.000,00",,
CEE 01 DE CEILANDIA,CRE CEILÂNDIA,"R$ 25.000,00",,
CEE 01 DE PLANALTINA,CRE PLANALTINA,"R$ 50.000,00",,
CEE 02 DE CEILANDIA,CRE CEILÂNDIA,"R$ 50.000,00",,
CEE 02 DE CEILANDIA,CRE CEILÂNDIA,"R$ 25.000,00",,
CEF 01 DO GAMA,CRE GAMA,"R$ 60.000,00",,
CEF 01 DO VARJAO,CRE PLANO PILOTO,"R$ 25.000,00",,
CEF 02 DO ARAPOANGA,CRE PLANALTINA,"R$ 50.000,00",,
CEF 03 DO GAMA,CRE GAMA,"R$ 30.000,00",,
CEF 03 DE PLANALTINA,CRE PLANALTINA,"R$ 50.000,00",,
CEF 04 DO GAMA,CRE GAMA,"R$ 40.000,00",,
CEF 04 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CEF 05 DO GAMA,CRE GAMA,"R$ 40.000,00",,
CEF 08 DO GAMA,CRE GAMA,"R$ 40.000,00",,
CEF 10 DO GAMA,CRE GAMA,"R$ 45.000,00",,
CEF 14 DE CEILANDIA,CRE CEILÂNDIA,"R$ 20.000,00",,
CEF 14 DE CEILANDIA,CRE CEILÂNDIA,"R$ 10.000,00",,
CEF 15 DO GAMA,CRE GAMA,"R$ 60.000,00",,
CEF 18 DE CEILANDIA,CRE CEILÂNDIA,"R$ 20.000,00",,
CEF 18 DE CEILANDIA,CRE CEILÂNDIA,"R$ 20.000,00",,
CEF 19 DE CEILANDIA,CRE CEILÂNDIA,"R$ 20.000,00",,
CEF 19 DE CEILANDIA,CRE CEILÂNDIA,"R$ 20.000,00",,
CEF 25 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CEF 25 DE CEILANDIA,CRE CEILÂNDIA,"R$ 25.000,00",,
CEF 26 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CEF 27 DE CEILANDIA,CRE CEILÂNDIA,"R$ 40.000,00",,
CEF 28 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CEF 28 DE CEILANDIA,CRE CEILÂNDIA,"R$ 20.000,00",,
CEF 31 DE CEILANDIA,CRE CEILÂNDIA,"R$ 40.000,00",,
CEF 32 DE CEILANDIA,CRE CEILÂNDIA,"R$ 50.000,00",,
CEF 33 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CEF 34 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CEF 34 DE CEILANDIA,CRE CEILÂNDIA,"R$ 10.000,00",,
CEF 35 DE CEILANDIA,CRE CEILÂNDIA,"R$ 30.000,00",,
CEF 403 DE SANTA MARIA,CRE SANTA MARIA,"R$ 15.000,00",,
CEF 418 DE SANTA MARIA,CRE SANTA MARIA,"R$ 60.000,00",,
CEF BOA ESPERANCA,CRE CEILÂNDIA,"R$ 40.000,00",,
CEF CERAMICA SAO PAULO,CRE SÃO SEBASTIÃO,"R$ 40.000,00",,
CEF CERAMICAS REUNIDAS DOM BOSCO,CRE PLANALTINA,"R$ 40.000,00",,
CEF DO BOSQUE,CRE SÃO SEBASTIÃO,"R$ 40.000,00",,
CEF JATAI,CRE SÃO SEBASTIÃO,"R$ 40.000,00",,
CEF NOSSA SENHORA FATIMA,CRE PLANALTINA,"R$ 50.000,00",,
CEF NOVA BETANIA,CRE SÃO SEBASTIÃO,"R$ 80.000,00",,
CEF PAB,CRE GAMA,"R$ 50.000,00",,
CEF POLIVALENTE,CRE PLANO PILOTO,"R$ 10.000,00",,
CEF POLIVALENTE,CRE PLANO PILOTO,"R$ 30.000,00",,
CEF SAO JOSE,CRE PLANALTINA,"R$ 50.000,00",,
CEF TAMANDUA,CRE GAMA,"R$ 30.000,00",,
CEF TAMANDUA,CRE GAMA,"R$ 40.000,00",,
CEF TAMANDUA,CRE GAMA,"R$ 50.000,00",,
CEI 01 DE CEILANDIA,CRE CEILÂNDIA,"R$ 40.000,00",,
CEI 01 DE PLANALTINA,CRE PLANALTINA,"R$ 30.000,00",,
CEI 02 DE PLANALTINA,CRE PLANALTINA,"R$ 50.000,00",,
CEI 04 DE SOBRADINHO,CRE SOBRADINHO,"R$ 40.000,00",,
CEI BURITIZINHO,CRE SAMAMBAIA,"R$ 15.000,00",,
CEI GIRASSOL,CRE PLANALTINA,"R$ 30.000,00",,
CEJAEP DE BRASILIA,CRE PLANO PILOTO,"R$ 80.000,00",,
CEM 01 DO GAMA,CRE GAMA,"R$ 50.000,00",,
CEM 01 DO GAMA,CRE GAMA,"R$ 50.000,00",,
CEM 01 DE PLANALTINA,CRE PLANALTINA,"R$ 40.000,00",,
CEM 02 DO GAMA,CRE GAMA,"R$ 50.000,00",,
CEM 02 DE CEILANDIA,CRE CEILÂNDIA,"R$ 50.000,00",,
CEM 02 DO GAMA,CRE GAMA,"R$ 50.000,00",,
CEM 02 DO GAMA,CRE GAMA,"R$ 50.000,00",,
CEM 02 DE PLANALTINA,CRE PLANALTINA,"R$ 50.000,00",,
CEM 03 DE CEILANDIA,CRE CEILÂNDIA,"R$ 50.000,00",,
CEM 04 DE SOBRADINHO,CRE SOBRADINHO,"R$ 30.000,00",,
CEM 09 DE CEILANDIA,CRE CEILÂNDIA,"R$ 80.000,00",,
CEM 10 DE CEILANDIA,CRE CEILÂNDIA,"R$ 50.000,00",,
CEM 10 DE CEILANDIA,CRE CEILÂNDIA,"R$ 50.000,00",,
CEM 111 DO RECANTO DAS EMAS,CRE RECANTO DAS EMAS,"R$ 50.000,00",,
CEM 12 DE CEILANDIA,CRE CEILÂNDIA,"R$ 80.000,00",,
CEM 404 DE SANTA MARIA,CRE SANTA MARIA,"R$ 50.000,00",,
CEM AVE BRANCA,CRE TAGUATINGA,"R$ 50.000,00",,
CEM EIT,CRE TAGUATINGA,"R$ 50.000,00",,
CEM TN,CRE TAGUATINGA,"R$ 70.000,00",,
CEM URSO BRANCO,CRE NÚCLEO BANDEIRANTE,"R$ 50.000,00",,
CEM INTEGRADO A EDUC PROFISSIONAL DO GAMA,CRE GAMA,"R$ 30.000,00",,
